poiId,frontImg,title,avgScore,allCommentNum,address,avgPrice
150704051,http://p0.meituan.net/600.600/mogu/184008c9c17587e91d6e3c1d7a263c4b182825.jpg,河里活,5,454,南山区南头街道丽乐美居199号,76
163010725,https://img.meituan.net/600.600/msmerchant/50735872f6eced83f3dddba7fd74b6fa786640.jpg,楼下的猫咖啡,5,993,南山区金鸡路53号四季丽晶一楼（欢乐颂麦当劳南侧）,41
96571152,http://p0.meituan.net/600.600/ugcpic/f3a7b5fd807bf30e2323d454612b3bec,大埕润记潮味牛肉店,5,437,南山区南头街大新路308号（中山公园东门斜对面南头派出所南侧200米）,59
160215857,http://p1.meituan.net/600.600/bbia/8dd4a38bfe62f6d7662ee1d076b76fb6436507.jpg,子情贝诺生日蛋糕店（南新店）,5,81,南山区南新路3020-1号,19
164225203,http://p1.meituan.net/600.600/mogu/de7a48766b89d39836b7cf3d02db419c334127.jpg,颜鲜寿司,5,324,南山区南头街道南头古城朝阳北街20号一楼商铺,43
163419332,http://p1.meituan.net/600.600/mogu/9d6cab7bcd65c1245bfd8923f956e97378952.jpg,御果,5,1806,南山区田厦金牛一楼8-38,21
152403249,https://img.meituan.net/600.600/msmerchant/0b3ad96a95295a8fc244689488cd127045089.jpg,蟹匠1027（南头店）,5,222,南山区南头街301号（满族包子对面）,92
156802893,http://p0.meituan.net/600.600/mogu/a66fdf98f1678a4fe53fc2abbccd096b71477.jpg,凡品蛋糕店,5,189,南山区南头街道大新社区关口正街70号,50
42753427,http://p0.meituan.net/600.600/mogu/6c6803429a2c081e4c66366dd4446420468088.jpg,湖南大碗菜,5,1027,南山区关口路63-1号,24
175140697,https://img.meituan.net/600.600/msmerchant/59f0bf91b639045eafd82a8621c011972136985.jpg,蝈师傅私房烘焙蛋糕,5,164,南山区常兴时代广场西座18楼G（桃园地铁B出口两百米天虹商场后门上）,88
180592718,https://img.meituan.net/600.600/msmerchant/1158cc2fb122bcc72810c1313e1f184159055.jpg,心地标生日蛋糕店（南山店）,5,103,南山区常兴路常兴苑D5栋101号,68
159837438,https://img.meituan.net/600.600/msmerchant/313853c5a8e4ed095a1a0fbdbc555f8f60678.jpg,虾王蟹煲（南头店）,5,1106,南山区南山大道3055号二楼（暨南头古城东门大汉堡二楼）,60
194728007,https://img.meituan.net/600.600/msmerchant/23757d2b23e989e6ff4ba27b3229f8bd43880.jpg,哞哞牛碳火烤肉（南山店）,4,11,南山区南头街1956数字文化创业园3栋104室,86
2505323,http://p1.meituan.net/600.600/deal/__11427578__3771284.jpg,友田达怡宝桶装水专卖（前海店）,5,44,南山区星海名城三期T6栋4号铺（近星海名城）,0
194851486,https://img.meituan.net/600.600/msmerchant/766cf6045163bb543cb0f4686a3f3b80170157.jpg,新二咖啡·高空下午茶,5,27,南山区深南大道海岸时代公寓东座1507,38
1530980,https://img.meituan.net/600.600/msmerchant/a6f13dbe4016de8e9df4bc9d871def631674608.jpg,翠顺楼·盛世厨房精品顺德菜（南山星海店）,5,2051,南山区深南大道与前海路交叉口振业星海商业广场4楼006铺,84
